idioms,literal_meaning
ቋቱ ጠብ አላለም,አልተሳካም
ባዶ ለባዶ,ያለምንም ግብ
ቅኔ ተመራ,ቅኔ አዜመ
ራሱን ነቀነቀ,አልመስማማቱን ገለፀ
ተርታ ሰው,ተራ ሰው
ምላሱ ተባ,ተናጋሪ ሆነ
ጀርባውን መነጠረው,አጠንክሮ ገረፈው
ሳር ቅጠሉ ሁሉ,ሰው ሁሉ
ሙት አማጣኝ,የሞተን የሚገዝት
ወንደ ላጤ,ያላገባ
ብቻ ለብቻ,አንድ ላንድ
ገዢው በህዝብ ላይ ሰነፈጠ,አገዛዙ በረታ
ፍቅር አሟጠጠ,ፍቅር ወሰኑን አለፈ
ቅኔ ነጋሪ,ቅኔ አስተማሪ
ስንደዶ ቀጨ,ስንደዶ ነቀለ
ቀለም ገባው,ትምርቱን ተማረ
ብድግ ያህል,ትልቅ አንዳች
በመላ ተናገረ,ሳያውቅ ሳይረዳ አወራ
እግዚአብሄር ቅጥል አለ,በጣም ተናደደ
ከስልጣኑ ስር አንበረከከው,ጥሩ ሁኖ እንዲታዘዝ አደረገው
በእርሳስ ነደፈ,ስእል ሳለ
ለይቶ አየ,ነጥሎ አዬ
የሴት አለሌ,ረባሽ ሴት
ነገር ቀመመ,አሳመረ
ሹመት አይደነግጥ,ስልጣን እንዳጣህ አትኑር
ሿ አለ,ፈሰሰ
ሰይጣናም,ንዴታም ግልፍተኛ
የነቃ የበቃ,ፃድቅ
ሙልጭ አለ,ሹልክ አለ
አይሆነኝም,አይስማማኝም
ተወኝ,አትጨቅጭቀኝ
ልበ ከንቱ,ምኞተ ርካሽ
ህሊና ቢስ,ለሰው አለማሰብ
ነገር ማብቃቃት,ትንሹን ትልቅ ማድረግ
ባንድ አይቅር,በነቂስ
ለዛ ሙጥጤ,ምኑም ማይመች
ልበ ክፍት,ብሩህ አእምሮ ያለው
ሞት ሞት ሸተተው መሰለኝ,አንቀዥቅዦታል
ከልቡ አገለገለ,ሳይለግም
ቅጡም የምንኩስና ነው,እንዲህ አርጎም የለ
ሰውዬው በረደ,ከልጅነት ወደ አዋቂነት ተሻገረ
እንደሁናቴዬ,እንደ ተፈጥሮዬ
ብልት አወጣ,ስጋ አወራረደ
የተቋጥሮ ዝምድና,የሩቅ ዝምድና
አሞላ,ድልድል ሆነ
እሺ በጎ,ማመንታት
ልበ ቆራጥ,ደፋር
ራሱን አወቀ,አእምሮው ተመለሰ
የቁጥቁጥ ኑሮ,የቁጥብ ኑሮ
ምንኛ ጠግበሀል,እንዴት ተኩራራህ
ቤት ይቁጠረው,በጦርነት የሞተው ሰው እጅግ ብዙ ነው
አንጀቴ ቁልፍ አለ,ምግብ አልበላኝ አለ
አሳሩን ቆጠረ,ተጨነቀ
ራሱን ቻለ,ከጥገኝነት ወጣ
መላ ቅጡ,ዝብርቅርቁ
ሆዱ ሻከረ,ቅሬታ ገባው
ነት ይንካው,ይዋል ይደር
ምን ምድር ተፋህ,ከዬት ከቸች አልክ
ክሶ ያዘ,ፈፅሞ ጠላ
ርግጡን ንገረው,እውነተኛውን
እንባው ረጨበት,በጣም አዘነበት
የቀለም ቀንድ,ሊቅ አዋቂ ተመራማሪ
ልብ አቁስል,አናዳጅ መናጢ
ትኩሳታም,በሽታ የማይለየው
አይነስረውም,ንፉግ ነው
ልብ አብግን,አናዳጅ
ሳር እግዚአብሄር,ቀጭን እግዚአብሄር
በዱላ ለወሰው,እስኪበቃው ደበደበው
ልቅ,ያልተቀጣ እንደ ልቡ የሚናገር
ቃሪያ,ያልበሰለ
አናካሽ,ነገር ሰሪ
ቡዳ በላው,አሳመመው
ሰጥ ለጥ ብሎ ተገዛ,ሳያንገራግር ተገዛ ያለተቃውሞ
በሊታ,ብዙ የሚበላ
የንነገር ቋት,ወሬኛ
ሾላ በድፍን,ያልተገለጠ ነገር
ሰምና ፈትል,ፍፁም ህብረት
ምን ታዲየ,ግድ የለም
ነገር ቀረቀረብኝ,ሀሳብ እንዲገባኝ አደረገ
ሹል ቂጥ,አርፎ የማይቀመጥ
በረክ በረክ አለ,ፈራ
ቀንበር ሰበረ,ህግ አፈረሰ
ቁጣው በረደ,አቆመ
አንጀቱ ቆረጠ,ወሰነ
ውጋት ሸከሸከው,ውጋት አመመው
እስኪነስረው ነገረው,እስኪያንገሸግሸው ነገረው
እንባው ረገፈ,አለቀሰ
ረጨ,አባከነ
ረድኤታም ሴት,የሰራችው የሚበረክት
ስራ ማይዝ,ማይረባ
ቤት በመለስ,ቤት ውስጥ ያለ ሁሉ
የብረት ልጥ,ጠንካራ ክንድ
እንዳልሆነ ሆነ,ተበላሸ ተዋረደ
አትልከፈኝ,በነገር አትነካካኝ
ልበ ሙት,ሰነፍ ደካማ
ቁርጥ ነገር,የመጨረሻ ውሳኔ
ልበ ተራራ,ለስራም ለነገርም ፈጣን ነው
አቋቁሚኝ,ለክርስትናው አብረሽኝ ሁኚ
ትምህርት ቃረመ,በመጠኑ ተማረ
በቀደምለት,ባለፈው ሳምንት ባንዱ ቀን
ጉራውን ነዛ,ትምክህቱን ገለፀ
መነሾ,ምክንያት
የሰው አይን ሆነበት,አገረሸበት
ለሰሚ ግራ ነገር,ደስ የማያሰኝ ነገር
እሳት የላሰው,ብልጣብልጥ
ቀሚሷን በተነች,የተኮማተረውን ዘረጋጋች
ትከሻ ወረደው,ትከሻውን አመመው
ምን አባቴ ልሁን,ምን ይበጀኝ
ቅድ አፍ,ወረኛ
ሀይማኖቱን ለወጠ,ሀይማኖቱን ካደ
አፈር ይብላኝ,አዝናለሁ
ረሀብ ሸነቆጠው,ክፉኛ ራበው
ቤቱን አሸነፈ,ራሱን ቻለ
እግረ ርጥብ,እድል ይዞ የሚመጣ
ለካከፈ,ትንሽ በላ
ሰመር ገጠመ,አንቆ ያዘ
ስንዝር መሬት,ትንሽ መሬት
ትዳሩ ሞቀ,ሀብታም ሆነ
ቅልጥጥ ቅብጥጥ አለ,ዝንጀሮ አየ
ርካሽ ቦታ,አልባሌ ሰፈር
ቀስቱን ለጠጠ,ቀስቱን ወጠረ
ከልቡ ወደደ,ካንጀቱ ወደደ
ቀፎው የቀረ,ተበልቶ ያለቀ
ሆደ ባሻ,በቶሎ የሚቀየም
ባጣ ቆዬኝ,ትንሽ ደሳሳ ጎጆ
ብርክ ያዘው,ፈራ
ነቀነቀው,ሰውነቱን ሰበቀ
መስክረም ሲጠባ,መስከረም ሲገባ
አትነፋ,አታኩርፍ
ነገር አረገዘ,ቂም ያዘ
ሲቀር ይቀራል,እንዳልነበር ይሆናል
ሰነፍ ምርት,ከገለባው ያልተላቀቀ ምርት
በር ከፋች,ቁልፍ ያዥ
ልቤን አልነካኝም,ስሜት አልሰጠኝም
መኸሩ ሳተ,አዝመራው ሳይሰጥ ቀረ
አንገቱን ረገጠው,ጨቁኖ ያዘው
ቁጥቁጥ አደረገ,ልብን ከነከነ
አስብቶ አራጅ,ሰውን እያታለለ የሚጎዳ
ማድ ረጋጭ,ገበታ ሳይነሳ የሚሄድ ባለጌ
ብረት ለበስ,በለስላሳ መጠጥ የተደባለቀ ጠንካራ መጠጥ
አንጀቱ ተቃጠለ,እግዚአብሄር ትክን አለ
ሆዱ ተቋረጠ,አልርበው አለ
የእንዝርት ቂጥ,ቂጡ አርፎ የማይቀመጥ
ወሬ አነሳ,መጫወት ጀመረ
ተቋረጠ,ስራ ሊሰራ ተስማማ
ግብረ ስጋ,ፈቃደ ዝጋ
ሀሳብ ሰነዘረ,ሀሳብ አቀረበ
ቆቡን ቀደደ,ምንኩስናውን አፈረሰ
ታጥቆ ተነሳ,ተዘጋጀ
ስጋማ,ወፍራም
በጦር ሸከሸከው,ደጋግሞ ወጋው
ለአለቃ ይሾራል,እየተንቀጠቀጠ ይታዘዛል
ለልጁ ሳሳ,ጉዳት ይደርስበት ይሆን ብሎ አሰበ
እንደየቤቱ,እንዳቅሙ
ቅዝዝ አለው,ቅፍፍ አለው
ራሰ ዘናና,ጭንቅላታም
ቃሪያ ጥፊ,ሀይለኛ ጥፊ
ላስ አደረገው,እሳት ፈፅሞ አቃጠለው
እስክስታውን ነካው,ጨፈረ
አንቃር መታው,አስታወከው
ይቅር ላንተ,ላንተ ብየ ትቸዋለሁ
ገንዘብ ቋጠረ,ገንዘብ አከማቸ
ለሹመት በቃ,ስልጣን ላይ ወጣ
አስነወረ,ልጃገረድ ደፈረ
ንሽ,ዝናብ ዘንቦ ሲያባራ
ስንዝሮ,አጭር
መስክ አልፋ,ስራ ፈት ስራ የማይሰራ
ረገብ አደረገ,ተወት አደረገ
በነገር ለበለበው,አሰቃየው
ምርግ,ዝምተኛ ሰው
ቀፎ ቆራጭ,ከቀፎ ማር አውጭ
ስንክሳሩ በዛ,ወንጀሉ በዛ
በሽታ ሸመተ,በሽታ ያዘው
ጆሮ ዳባ ለበሰ,ሰምቶ ያልሰማ መሰለ
እዚህ ሁን,እዚህ ተቀመጥ
ቀንዱን አሳየ,ማን ይነካኛል
ድል ነሳ,አሸነፈ
በቀኝ ጎን ተነሳ,መልካም አጀማመር ነበረው
ሞቅ አለው,በመጠኑ ሰከረ
ሆዱ ቆረጠ,ጨከነ
በዱላ አነከተው,በዱላ መታው
አንጀቴን አርሰኝ,ተበቀልልኝ
ጎጆ ቀለሰ,ቤት ሰራ
ለእውቀት በቃ,ተማረ
ነገር ሸረበ,በሰው ላይ አሳበቀ
ገንዘቡን ነዛ,ገንዘቡን አባከነ
ነቃሽ,ምስክር
አረጋግጦ መሰከረ,ቁልጭ አድርጎ በሚገባ መሰከረ
ባዶ ባዶ,የታማ የታማ
ሴራ ቆረጠ,አድማ አደረገ
ስጋ ለስጋ,አጥንት ሳይነካ
ሻ አለው,ልቡ ሊከዳው ፈለገ
ጉዳዩን አታርቀው,አታክብደው
ጨዋታው ቀለጠ,ተፋፋመ
ቅጥብ,እለተ ሞት
ስራተ ቢስ,ህገ ወጥ
ለበሽታዬ ያህል,ላምሮቴ ያህል
ዋጋ አሳበረ,ዋጋ አዋረደ
ቃል በቃል,በቀጥታ
ቆማ ቀር,ሳታገባ የቀረች
ቀጥኜ ቢያዩኝ,እንዳልሆን ሁኔ
ድንቄም ሰለጠነች,እንዲህ ያለ እውቀት የለ
አእምሮው ተበርዟል,ክፉ አሳቢ ሁኗል
ሱሪ ባንገት ማውለቅ,የማይቻል ነገር ማድረግ
ሰማንያ ከነዳ,የተከሰሰን ለማቅረብ ውል ገባ
ሴራ ሆነ,አገሩ ረጋ
ልጁን ተቆጣው,ምከረው
በራፍ,ደጅ
በጥይት ቆጠረበት,ደጋግሞ በጥይት መታው
መሬት አሟሸ,ሰው ባልተቀበረበት ቦታ ተቀበረ
ሞላጫ ሌባ,አይን ያወጣ ሌባ
የውሻ ቁስል,ቶሎ የሚድን ቁስል
በሰበሰ,ሞልቃቃ ሆነ
ገበያ ቆመ,መገበያየት ተጀመረ
ተረከዘ ሎሚ,ተረከዟ የሚያምር ለሴት ብቻ 
በገና ደረደረ,መታ
ነከርት,በጣም ሞኝ
ቀን ጣለው,ክፉ ጊዜ አጋጠመው
ትጥቅ,የጦር መሳሪያ
ፈሱን ቆረጥ አደረገ,ፈሱን ፈሳ
ወደ ዳገቱ ሲያቀና,ወደ ዳገቱ መንገድ ሲጀምር
ቁርጥ ሆነ,ተረጋገጠ
ቀልቡን አሳጣሁት,ረበሽኩት
የቀበጠ ቤት,ያማረ ቤት
ረሀብ ቀጠቀጠው,ረሀብ ጠናበት
በነገር ሸቀጠ,አታለለ
የሆነው ይሁን,የመጣው ይምጣ
ሰውየው ሳተ,አረጀ
ይቻላል,ይሆናል ይደረጋል
ልበ ቆራጥ,የማያወላውል ደፍር
ሀብቱን ሰነከለበት,እንዳይያድግ አደረገው
ልቡን ሰጠው,ሚስጥር ገለጠለት
ፍቃድ ሞላ,እረፍት ወጣ
የነገር ብልት ያውቃል,አስተዋይና ዘዴኛ ነው
ብር ብሎ ሄደ,ሮጦ ሄደ
ሳብ ረገብ አደረገ,ያዝ ለቀቅ አደረገ
ባርያ ፈንጋይ,የባሪያ ነጋዴ
የሰጠ ነው,የተመቸ ነው
ቃል ገባ,ስምምነት አደረገ
ባላልጋ,ንጉስ
ተኮሰ,በስውር አዬ
የሰው ስም ሰበረ,አጠፋ
ሰአቱ ሞላ,ደረሰ
የፈሲታ ተቆጢታ,የጥፋተኛ ተቆጪ
መላ ጣይ,እንዲህ ሳይሆን አይቀርም ባይ
ከቀፎው እንደወጣ ንብ,እንደ በረገገ ንብ
ቃል ለምድር ለሰማይ አለ,የማይናወጥ ተስፋ ሰጠ
ብትን ስራ,ያልተዋሀደና ያልተቀነባበረ ስራ
ምንጭሩ ድብን አለ,ተናደደ
ሰርግና ምላሽ,ታላቅ ደስታ
ጉዳዩን ሞላ,ፈፀመ
ሁሉ አማረሽ,ያየችውን ሁሉ የምትመኝ
ሂያጅ,አመንዝራ
ሌባ ሚዛን,የሚያጎድል ሚዛን
ልቡን ሰቀለው,ሀሳብ ያዘው
ነበር ባይ,የቀድሞውን እያስታወሰ የሚኖር
የበታች በታች,ማእረጉ በጣም ዝቅ ያለ
ቆሽቱ አረረ,በጣም ተናደደ
ሰንካላ ምክንያት,በቂ ያልሆነ ምክንያት
ቁም ለቁም,የማያስተውል
ፊቱን ቋጠረ,ፊቱን ኮሰተረ
አይኑ አረገዘ,ሊያለቅስ ደረሰ
ራስ ሳይጠና ጉተና,አቅም ሳይፈቅድ
አንጀቱን ቆረጠው,አላስቀምጥ አለቅ
ነቃ ነቃ አለ,ሰውነቱን ጠበቀ
እግሩን ነቀለ,ተራመደ
መቋለፍ,መተሳሰር በግብረ ስጋ ግዜ
ማዶ ማዶ,ቅሌታም
የህልም ሩጫ,ሳይሮጡ የሮጡ የሚመስል
ቢከፍቱ ተልባ,ሲገለጥ ባዶ
የሰይጣን መልእክተኛ,ክፉ ሰው
ብረቱ ሸንቶበታል,ዝጓል
ህቅ ህቅ አደረገው,ሲቃ ያዘው
ቂም በቀል,የበቀል ቂም
ትከሻም,እድላም
ቤተ ሰሪ ኋላ ይመጣል,ያለቀውን ህንፃ ይነቅፋል
እጀ ሴሰኛ,ያገነውን ሁሉ የሚያነሳ
ጉድጓድ ማሰለት,የሚጠፋበትን ፈለገለት
ልቡ ወላወለ,አመነታ
ሆዱ ቃረ,ተቀየመ
የሰማይ ቁጣ,መብረቅ
ቤት የእግዜር ነው,እንግዳ መቀበያ ነው
ቀርቶ ላይቀር,ልቡ ላይቆርጥ
የጦር ምሰሶ,የጦር መሪ
አሰልጥ ባርያ,ከባርያ የተወለደ
መቆያ,መክሰስ
የሰጠ ይታክታል,አይበቃኝ ባይ
ሴራ መታ,አሴረ
ቅዱስ ቅዱስ አለ,አሞካሸ
ጆሮውን ሸመጠጠው,ጋለበ
ባህር ነው,ቸር ነው
ችግሬ,ፈላ ምላጭ
የቤት ልጅ,ዲቃላ
ለጋብቻ የሚቆረጥ,ለሙሽራ የሚቀርብ የጋራ ሀብት
ተብታባ,አንደበቱ ያልቀና
ቃለ ከባድ,ተሰሚነት ያለው
በሱ ቆርበሀል እንዴ,ያለ እሱ እንዳይሆን ታግደሀል ወይ
ጠጉር ሰራ,አሸመ
በትምህርት ሞረደው,በትምህርት በደንብ አስተማረ
የቆንጆ መራራ,ክፉ
ሆዱ ተቆለፈ,አልርበው አለ
ቀልበ ቢስ,ውቃቤ የራቀው
አመሳከረ,አስተያየ
ለራስ ያሉት,ለብቻ ያስቀመጡት
ሰርግና ምላሽ,ትልቅ ደስታ ፈንጠዝያ
በሽታ ለከፈው,ነገር ፈለገው
ሲበሉ የላኩት,ማስተዋል የማይችል
ልበ ጎዶሎ,ሀሳበ ቢስ
ሆዱ ባሰበት,አሸነፈው
ጠፍር በሊታ,ተናዳጅ
ላጤ መላጤ,ፍፁም ደሀ
እግዚአብሄር ሳመ,ተለማመጠ
ስራ ስራውን,የያዘውን ብቻ
ምንህ ነው,በምን ትገናኛላችሁ
በራዦች,ያልሆነ ትምህርት አስተማሪዎች
መላቢስ,ደንጋራ
ዳኛ ረግጦ ሄደ,ፍርድ ቤት ናቀ
መስከረም ሲተኮስ,ሲጠባ
ቆርጦ ቀጥል,ቀጣፊ
ገንዘቤን ላፈኝ,ቀማኝ
ተቃመሰ,ትንሽ ትንሽ ተዳረሰ
አፈር ብላ,ሙት
ቤቱ ተረጋጋ,ፀጥታ ሰፈነ
ማርም አይልስ,ፈፅሞ ጠግቧል
ቀንበር ጫነ,አገዛዝ አጠነከረ
ሰአቱን ሞላ,አስተካከለ
ልበ ቢስ,ዝንጉ
ተምች መታ,ብዙ ሰው ባንድ ግዜ ገደለ
ልብስ ተማሪ,በአለባበሱ የተማረ የሚመስል
ባሌን አሞኘሁት,የቤት ፈትል መሳይ የፈረንጅ አገር ድር
ልቡ አረፈ,ሀሳቡ ሞላለት
ነበዝ አለ,ወየበ ፈዘዘ
እራስ የሌለው,ይሉኝታ ቢስ
ቤት አዛዥ,አሳዳሪ
ሀሳብ ገባው,ሀሳብ ያዘው
ቤት መታ,ስንኙ ገጠመ
ቁርበተ ነክ,ስራ የሌለው ነገር
ጉዳዩን ተኮሰ,አከናወነ
ልቡ ተርፏ አለ,ደነገጠ
ብው ብሎ ሰከረ,በጣም ሰከረ
እሳት መታው,በወግ በሰለ ተንቃቃ
ቅጠል የለሽ,ሲናገር ማያምርበት
ልበ ድንጉጥ,በቶሎ የሚደነግጥ ፈሪ
ሽታው ለወጠ,መጥፎ መሽተት ጀመረ
ቃሪያ ነገር,በደንብ ያልበሰለ
ነከርቴ,ጅላጅል
ቆይ,ወደፊት አሳይሀለሁ
ሌላ ሌላውን,ጥሩ ጥሩውን
የሆነው ይሆናል,ከልኩ አያልፍም
ሰው ለየ,አዳላ
መለስ ቀለስ,መመላለስ
ሆዱን ቦረቦረው,ራበው
ቁም ስቅል አሳዬ,ወይዘሮ ያዘ
ብረት ሰሪ,ቀጥቃጭ አንጥረኛ
ቃጠሎ,በጣም ሞቃት
የሴት መዶሎቻ,ጓዳ
ስር የለሽ,ዘሩ የማይታወቅ ለሰው
መቆራረጥ,መለያየት
ቆሌው ተነስቷል,መቆጣት አምሮታል
ሙክቱ ቀለጠ,እጅግ ሰባ
አፉን አቆመ,ለመናገር ቸኮለ
ቅር ቅር አለው,ውል ውል አለው
አታቀርሽብኝ,ቆሻሻ ነገር አትናገር
ሀዘን ተነባበረበት,እየደጋገመ አጠቃው
ነበርን ባይ,ወገኛ ያለፈውን የሚያጋንን
የበቃ,ፃድቅ
ቀባ,ስም አሳደፈ
ሰው መሆን አይቀርም,መሳሳት አይቀርም
ቁም እግዚአብሄር,ከዚህ አትለፍ የተባለ ሰው
ልቡ ተነሳ,ለመሄድ ተቻኮለ
ልቡ ሞተ,ድፍረት ንቃት አጣ ሰነፈ
ዋጋ ሰቀለ,ከፍ አደረገ
ይቅር ባይ,ታጋሽ
ይቅር አሰኘ,አስታረቀ
አለዘበ,አባባለ አግባባ
ልበ ጡል,እብድ ዝንጉ
ሀሞቱ ፈሰሰ,ሰነፈ
ሴት አውል,ከሴቶች አካባቢ የማይጠፋ
አነሳሽ,ጎትጓች
ሰመር ገባ,ተያዘ ተሸነፈ
ከነገር ሸተት አለ,ራቀ
ራስ የለውም,አያሳብም
ቃሉን ሰጠኝ,ውለታ ገባልኝ
ልቡን ነሳው,አሳበደው
ቀለሙ ተሰበረ,ሲመቱ ቀዘቀዘ
ሆዴ,ፍቅሬ
ጦሩን ነዘረ,ጦሩን ሰበቀ
የተረሳውን ጎን ቀሰቀሰ,አስታወሰ
የግንባር ስጋ,ደፋር
በሬ,እንከፍ
ሽጓጣ,ኮስማና
ቆይ ብቻ,ግዴለም የሚገባህን ታገኛለህ ዛቻ
ራሱን ሰወረ,ባለማታወቅ ኖረ
ጠበቃ አቆመ,ነገሩን ጠበቅ አደረገው
ብቅ ጥልቅ አለ,ወጣ ገባ አለ
ቱግ አለ,ድንገት ተቆጣ
ቤቱ ሰው አያውቀውም,አያበላም አያጠጣም
ቤት የመለሰው,በቤት ውስጥ ያለ ማንኛውም እቃ
ልቡ ራሰ,የፈለገው ስለሆነለት ተደሰተ
አይለመድ,ሁለተኛ አይደገምም
ረጠበ,አገዘ
ሳል ተከለበት,የማይለቅ ሳል ያዘው
በንዴት ተቃጠለ,አምሮ ተቆጣ
መንገድ አሳበረ,አቋረጠ
እንደየሁኔታው,እንደየነገሩ
እንዝርት ቂጥ,ቀዥቃዣ አንድ ቦታ ረግቶ የማይቀመጥ
ገዛ ነዳ,በስልጣኑ ስር አምበረከከ
ነገር ቋጠረ,ቂም ያዘ
መስከረም ነጋ,መስከረም ተጀመረ
ባጭር አስቀረ,ቀሰፈ
መሬቱ ቀና,ለእርሻ ምቹ ሆነ
የበይ ተመልካች,ለመብላት እድል ያልገጠመው
የጨረቃ ቀንድ,ለጋ
ቅጠ መልካም,ሁኔታው ያማረ
እየቀደም,እያደር
ቃሌ ነው,ብያለሁ
ቆሌያም,ሰይጣናም
እየቅል እየቅሉ,ለየብቻ
ቁስሉ ቂም ያዘ,አገረሸ
በረከት አጣ,ቶሎ አለቀ
ልቡ ተሰነጠቀ,ደነገጠ
በዘልማድ,በተለምዶ
ምኑና ምኑ ተይዞ,እንዴት ሊሳካ
እሳቱ ብው አደረገው,አቃጥሎ ጨረሰው
ሰውዬው ቡዳ ነው,የማያውቀው ነገር የለም
ልብ አቁስል,ጨቅጫቃ ነዝናዛ
በሬ ወለደ,የውሸት ውሸት
አመሳቅሎ ለበሰ,አደገደገ
ቁቲት በጣሽ,ሸማኔ
ትከሻ ሰጠ,ተኩራራ
በሹመት ነበበ,የበላይነት ተሾመ
ታቦት ተከለ,ቤተክርስትያን ሰራ
ብትን ንባብ,ጥሩ ንባብ
በቃልሉ ፀና,በተስማማበት ረጋ
ስመኛ,ሰበበኛ
ጥርሰ በረዶ,በጣም ነጭ ጥርስ ያለው
የሰማንያ ሚስት,የህግ ሚስት
የፊቱን ጦር ቀመሰ,በፊት ገጠመ
ራሱ ጠና,ነብስ አወቀ
